type,n,n_pctoriginal,min,median,mean,max,sd,cv
raw,47508,0.33,18,1867,1813,84970,936,52
minmaxyield,47018,0.33,68,1871,1810,3976,741,41
minmaxspeed,43912,0.31,18,1909,1848,4455,716,39
pos,44121,0.31,18,1914,1872,84970,918,49
pos,38207,0.27,18,1915,1816,3871,778,43
